Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Congo, Rep.",COG,1705796853.0,1993512323.0,2160640565.0,2097274290.0,2193581365.0,2160872540.0,1849268212.0,2297753652.0,2212536312.0,2389593026.0,2798746050.0,2724853506.0,2933222703.0,2684323623.0,1769365438.0,2116003868.0,2540697539.0,2322719103.0,1949481379.0,2354772960.0,3227927698.0,2796704604.0,3034250924.0,3503723088.0,4656974940.0,6650001680.0,8072305029.0,8782703437.0,11649857673.0,9723299915.0,13148396212.0,15655383577.0,17692911296.0,17958720699.0,17919321078.0,12434793867.0,10931328151.0,11834473039.0,14773900289.0,13976637780.0,11468687464.0,14825690211.0,15817030157.0
Colombia,COL,33400735644.0,36388366869.0,38968039722.0,38729822782.0,38253120738.0,34894419443.0,34942489684.0,36373307085.0,39212550050.0,39540080200.0,47844090710.0,49637993949.0,58394443378.0,66474101301.0,81705497617.0,92495970511.0,97153389011.0,107000000000.0,98486358581.0,86278947637.0,99875074951.0,98200641203.0,97945812803.0,94644969157.0,117000000000.0,146000000000.0,162000000000.0,206000000000.0,243000000000.0,232000000000.0,286000000000.0,335000000000.0,371000000000.0,382000000000.0,381000000000.0,293000000000.0,283000000000.0,312000000000.0,334000000000.0,323000000000.0,270000000000.0,319000000000.0,346000000000.0
Comoros,COM,212218261.6,196349931.5,184009013.6,191621954.9,184697225.6,196726096.3,279197721.8,337525852.6,356500032.7,341476768.3,429622177.7,424108769.5,457388651.5,452881475.1,319189184.3,398461797.0,396053805.9,364445600.5,370106745.9,382454989.9,351136579.6,378512024.1,425964681.0,546885222.7,633706110.8,653845169.2,698431793.9,795673152.9,915659108.0,905341172.7,907979446.4,1023087476.0,1015842907.0,1116223107.0,1149587624.0,966029599.8,1012835493.0,1077439756.0,1188797450.0,1195019531.0,1225039196.0,1299039312.0,1279542248.0
Cabo Verde,CPV,142246815.3,139468209.1,140630679.0,138476175.6,132019038.6,137728204.8,190651167.6,235253064.7,264308140.3,267448571.4,306890962.6,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979269.8,490608657.9,521910560.5,592416703.1,539227277.6,563090490.4,620507387.5,813260468.9,924940011.8,972241676.9,1107571458.0,1649621739.0,1959620648.0,1852334575.0,1824751468.0,2046817987.0,1913081210.0,2028910915.0,2041930125.0,1749857620.0,1849789986.0,1996741540.0,2205099507.0,2252177124.0,1821565614.0,2051842619.0,2247003344.0
Costa Rica,CRI,4831447001.0,2623803096.0,2606623555.0,3146772631.0,3660477856.0,3919203960.0,4418983871.0,4532952047.0,4614629898.0,5251025767.0,5711687787.0,7215725487.0,8579754758.0,9564815975.0,10489903725.0,11578594260.0,11678424507.0,12614602382.0,13684255947.0,14254866285.0,15013629662.0,15976174337.0,16578820687.0,17271760507.0,18610594846.0,20040642477.0,22715540324.0,26884700709.0,30801745700.0,30745714313.0,37658616952.0,42762613699.0,47231655432.0,50949668842.0,52016408854.0,56441920821.0,58847019610.0,60516044657.0,62420164992.0,64417670521.0,62395610760.0,64960725734.0,69243626029.0
Cyprus,CYP,2154311277.0,2087496374.0,2159242417.0,2160364071.0,2278248953.0,2430411900.0,3090734463.0,3704813886.0,4278792597.0,4563482604.0,5591130218.0,5770197348.0,6912150456.0,6590291048.0,7425703929.0,9933137128.0,10011914680.0,9547816420.0,10248618778.0,10497907228.0,9985847314.0,10397898907.0,11420228846.0,14547329558.0,17320551250.0,18433412511.0,20072754987.0,23968727074.0,27844646258.0,26048179949.0,25799940078.0,27641547910.0,25047436975.0,23959712861.0,23225918260.0,19909278417.0,21046462281.0,22946570629.0,25754001368.0,26196667100.0,25555093854.0,30372642502.0,30935566077.0
Germany,DEU,954000000000.0,803000000000.0,779000000000.0,774000000000.0,728000000000.0,735000000000.0,1050000000000.0,1300000000000.0,1410000000000.0,1400000000000.0,1780000000000.0,1880000000000.0,2140000000000.0,2080000000000.0,2220000000000.0,2590000000000.0,2510000000000.0,2220000000000.0,2250000000000.0,2210000000000.0,1970000000000.0,1970000000000.0,2100000000000.0,2530000000000.0,2850000000000.0,2890000000000.0,3050000000000.0,3480000000000.0,3810000000000.0,3480000000000.0,3470000000000.0,3820000000000.0,3600000000000.0,3810000000000.0,3970000000000.0,3420000000000.0,3540000000000.0,3760000000000.0,4050000000000.0,3960000000000.0,3940000000000.0,4350000000000.0,4160000000000.0
Dominica,DMA,72804653.33,82107391.11,89527576.67,98665191.48,109157070.7,119491933.0,135161958.5,151868754.4,171106184.1,185137243.0,201429629.6,219762963.0,234059259.3,245525925.9,264374074.1,274522222.2,292285185.2,302988888.9,322411111.1,331759259.3,333470370.4,377462963.0,375200000.0,373318518.5,396711111.1,391455555.6,416674074.1,444685185.2,480003703.7,515618518.5,519859259.3,532081481.5,520355555.6,545325925.9,572255555.6,583177777.8,612711111.1,563355555.6,628244444.4,644259259.3,528944444.4,562911111.1,623062963.0
Denmark,DNK,70811287816.0,61459941461.0,60084214872.0,60331158447.0,58868891335.0,62452421011.0,87748695217.0,109000000000.0,116000000000.0,112000000000.0,138000000000.0,139000000000.0,153000000000.0,143000000000.0,156000000000.0,185000000000.0,187000000000.0,173000000000.0,177000000000.0,178000000000.0,164000000000.0,165000000000.0,179000000000.0,218000000000.0,252000000000.0,265000000000.0,283000000000.0,320000000000.0,355000000000.0,323000000000.0,322000000000.0,344000000000.0,327000000000.0,345000000000.0,353000000000.0,302000000000.0,312000000000.0,332000000000.0,355000000000.0,345000000000.0,356000000000.0,408000000000.0,402000000000.0
Dominican Republic,DOM,6761300000.0,7561300000.0,8267400000.0,9220600000.0,11594000000.0,5044579979.0,6122128558.0,5827050753.0,5374299981.0,6686593060.0,7073675545.0,9824483340.0,11605382504.0,13081042400.0,14644734599.0,16637370839.0,18241622548.0,20017450041.0,21672215547.0,22136579397.0,24305780629.0,25601823688.0,27137440786.0,21403167848.0,22322387382.0,35777560684.0,37879830084.0,43965458509.0,48091433554.0,48223781477.0,53801053353.0,57948261616.0,60561635556.0,62555417415.0,67014329100.0,70966782572.0,75552902636.0,79070274743.0,84994732049.0,89146130745.0,78546672407.0,94850719517.0,113000000000.0
